Price,Close,High,Low,Open,Volume
Ticker,COST,COST,COST,COST,COST
Date,,,,,
2022-08-25,529.8301391601562,529.9647718376282,519.0366849660911,524.9913479626777,1483300
2022-08-26,511.60064697265625,531.6579235929898,511.4563263637302,529.0894512425145,1886800
2022-08-29,510.8695373535156,515.1407345883242,504.07795504067576,506.9927851393057,1579900
2022-08-30,504.2125549316406,515.6312606167572,501.6825411101715,513.9670528712079,1872700
2022-08-31,502.2501220703125,506.3097113344447,500.48011038467695,505.55933817241913,2179800
2022-09-01,509.0513000488281,509.4457450078685,497.37289921553196,499.9605708789476,2280600
2022-09-02,499.37384033203125,514.5058382824619,496.43018142474455,512.4471852734405,1901700
2022-09-06,499.1717834472656,503.2602012153057,493.04397139563315,500.383829747611,1933400
2022-09-07,509.5035705566406,511.4467320204117,499.1719052352624,500.2300607240094,1827900
2022-09-08,509.00323486328125,512.7646123660273,501.7306629544641,504.39536834275407,1600800
2022-09-09,516.1796875,517.6034003322607,509.3977344269244,511.88923188338066,1930900
2022-09-12,519.0077514648438,521.9706092063279,516.5835417539643,517.2857687482996,1522400
2022-09-13,490.89874267578125,512.0046017203233,489.34996783017203,510.6097179532773,2881400
2022-09-14,488.6861877441406,494.46770105254285,483.991717306435,494.32338046400594,2007300
2022-09-15,484.3572998046875,489.7059103397443,481.50021584902436,489.07099953211673,1749600
2022-09-16,484.9729919433594,487.1855359370495,478.3930177443606,480.5767328470149,3004800
2022-09-19,487.310546875,487.4452089007351,479.9225424990607,483.0682086685696,1441300
2022-09-20,480.528564453125,484.2899123232469,474.66050596502026,483.87626768887196,1843100
2022-09-21,474.3238525390625,487.17590118872147,474.25650684121814,483.39532391016655,2082600
2022-09-22,468.6481628417969,475.2184782780963,465.9930866457382,475.2184782780963,3133100
2022-09-23,448.66778564453125,463.9825310680445,445.9069057755557,460.7310316553413,5377800
2022-09-26,462.0393371582031,465.7044814248855,447.5230513308464,448.1579621414093,4001900
2022-09-27,460.11541748046875,469.83142969765055,457.35453720613515,467.03206197021353,2412400
2022-09-28,469.7255859375,472.8616232014942,456.1616515690029,463.2225867105369,2419500
2022-09-29,460.76953125,470.4181966013117,456.0462024389142,467.14743869999535,1963900
2022-09-30,454.3146057128906,465.4351000382721,453.9298193118991,462.3856377191609,2436700
2022-10-03,459.5670471191406,462.55879298340085,452.51571219806794,456.45983891154975,2338500
2022-10-04,467.647705078125,469.4658334235324,462.45301491754634,465.43513174637974,2175600
2022-10-05,462.05859375,465.4736136168314,456.76769970670944,463.0013160817546,1587700
2022-10-06,464.14605712890625,475.1030313599047,463.59775044314756,465.0695797353526,2430700
2022-10-07,450.35125732421875,460.8945575408338,448.3984376840563,460.07689743443103,2568100
2022-10-10,448.5812072753906,452.37141349247247,444.0598863492309,451.83270666177947,1616300
2022-10-11,454.0741271972656,459.1052969127928,446.0704699481922,447.3210331366132,2341400
2022-10-12,448.6485595703125,461.50060751641837,448.5715846748977,456.28668860892077,2043900
2022-10-13,450.19732666015625,453.80475419109575,431.95818128377596,440.7699277888959,3390900
2022-10-14,437.3645324707031,455.39207129111577,436.53724313546246,454.08376223416053,2301600
2022-10-17,446.5225830078125,449.1295424180394,442.972871967079,444.0983729171728,2097500
2022-10-18,455.276611328125,458.40304871305216,451.0054145213618,455.2092949883222,1864000
2022-10-19,453.5065612792969,456.81577728640707,449.1969064661834,450.02419578930017,1207600
2022-10-20,446.95550537109375,454.13187377088144,445.3105264571064,453.09294744555353,1709500
2022-10-21,459.9999084472656,461.3370756663365,444.704421708543,446.08004701703567,2508400
2022-10-24,478.0755615234375,479.0664004947462,462.7223573902825,463.299522338756,2366200
2022-10-25,480.0860900878906,481.17313298578586,471.8515375708164,474.56433021484,2130900
2022-10-26,480.4613037109375,488.12829156454774,476.8442466485599,479.06641986198446,2088700
2022-10-27,478.5242004394531,484.75945259980176,476.2112847818806,481.67554544949286,1576600
2022-10-28,492.334228515625,494.21348892379314,477.9748473227044,479.2565783291268,2369300
2022-10-31,483.3041687011719,491.1488407108996,482.34045151532706,491.1488407108996,2192200
2022-11-01,481.8200988769531,488.98054085404704,481.64663681933996,485.4244216213858,1586300
2022-11-02,465.9669494628906,484.9810724930266,465.7356373176682,479.73844815951696,2464400
2022-11-03,468.6461181640625,473.5032324305355,462.30484153402125,463.43240377357506,2010400
2022-11-04,468.7617492675781,474.7560722270391,459.2016604286716,472.6069719968488,1987300
2022-11-07,470.8240966796875,472.221498592712,457.28387975967723,459.7413472229198,2036000
2022-11-08,474.88140869140625,480.1818545393659,466.9307399194669,472.9250634912086,1709900
2022-11-09,472.1925964355469,479.52647143409433,469.19542015016896,474.05256388336664,1640500
2022-11-10,494.5122375488281,496.16980298609974,483.2078236105978,486.6290374967138,3098300
2022-11-11,496.767333984375,498.08768081521043,488.3251903404401,494.5122684165678,2393500
2022-11-14,491.1873779296875,501.8075603501732,490.9368314554305,497.05644158854284,1820200
2022-11-15,507.36822509765625,510.57742021691905,501.13300232190284,501.13300232190284,2502200
2022-11-16,505.09381103515625,509.38236436866066,501.2967628883197,502.39541462079706,1833600
2022-11-17,502.40509033203125,502.8580092114904,494.34842813469095,500.1692592246128,1902500
